# Step    x                  y                  z
0          4.10576578    4.35056400    0.22113246
0         -5.55880047    4.53058921   -1.59144998
0          6.74104922   -6.89154213    0.92140431
0          2.94292698   -0.45039074    4.83183647
0          3.29329674   -2.76913288   -4.55550776
0         -1.77531461   -3.93687802    4.24933436
0         -3.40809209   -0.77711363    6.77716212
0          3.44913916   -4.66277955    6.22023993
0          6.92072823   -5.71621076    1.93539788
0          0.09645711    6.39552931    5.74062300
0         -0.09308497   -1.42615375   -5.09620317
0         -5.33097994   -3.85865975    3.12065252
0         -2.37421706   -1.22901956    4.23785090
0          5.09082018   -2.08665249   -4.94448261
0          4.80249226    4.97657938    2.46732358
0          0.90899483   -0.92216353   -6.40808961
0          1.51074259   -0.63379018   -2.37751145
0          4.50346281    2.89431173   -3.84863643
0         -1.54191498   -2.20706589    6.25568419
0          3.28832538   -4.08933396    5.21847876
0          3.03817780   -6.15342770    1.64510160
0         -1.21379458    6.47130350    3.84132973
0         -6.96809339   -0.72523907    0.25545823
0          1.82249064   -5.89045146   -5.86673328
0         -1.97162621    3.94231515    3.19058977
0         -1.17283260   -0.21763243    1.77137013
0         -6.72084443   -3.88509818    0.46270375
0          4.54508514    6.81331862   -2.59430461
0          5.16159787   -6.12079030   -4.07572223
0         -1.41427543    5.46066356    1.75338670
0         -6.03547730    5.89062466   -5.32736374
0         -5.28683217   -4.46136854    5.05364115
0         -1.19970334   -0.96015697   -2.55456384
0         -3.45367769    1.72027640    4.49866959
0          2.37859810   -2.74157489   -6.97726158
0         -3.24607900    3.30969385    1.32825312
0          3.01673054   -0.63696203    0.66331237
0         -1.11480448    1.76929564   -0.64428542
0          2.36427338   -1.78552503    3.44307515
0          4.93631413   -0.44479724   -6.10042444
0         -0.67999137   -6.71778750   -3.54358339
0         -1.06662065    5.48615424   -5.94170072
0          3.10130406   -1.04496509   -0.34374770
0         -3.09727335   -0.91914229   -1.69216362
0         -1.40126715   -0.78628765   -3.44188556
0         -3.82073210   -6.12721369   -5.90284197
0         -2.64057064    6.96670653   -2.52697672
0         -5.38778338    0.49922711    6.38276233
0          1.25491898   -1.76205472   -1.36518813
0         -5.50155041    1.25562937    3.13651884
0          2.71516579   -2.74722030   -2.31196545
0         -6.36976359   -6.28666001    1.40790908
0          2.50287275    4.66411381    5.89342071
0         -3.81876991   -4.11543301    5.81385418
0          5.02953336    1.12031607    6.79829497
0         -1.20455323    0.17242864   -5.30905109
0          0.84941591   -4.68518700   -1.12969141
0          3.20916800   -6.03109233    2.83318378
0         -0.88932418    1.57315025    4.44842665
0          6.19834388    2.64240193    2.79138093
0         -3.64622537    6.04079512    3.05643324
0         -3.84942195   -2.59245564   -4.49802056
0          2.82750178   -2.79596782   -1.61642743
0          6.88516382    1.83744165   -1.80741979
0          6.72721290    4.37183472    3.82362102
0         -5.42139546    2.65022778    6.46029726
0          6.95262137    5.55673552   -3.50437155
0          5.32520038   -6.60559980    5.95346592
0          0.31285100    2.45029161    1.10751319
0          1.78759506    0.30779086    1.83947708
0          1.67864081    1.04546122   -1.52517503
0         -2.60507049   -0.09026540    5.52098341
0         -6.32292363   -5.84493495    2.51101336
0          3.00345909   -4.03538321   -4.56038472
0         -4.25285381   -1.47225604   -3.47716272
0          5.67584309   -4.19950628   -6.17184842
0          4.66345979   -1.13947141   -4.11777688
0          5.63941287    5.90715809   -6.46516690
0          1.75045773    0.53972365    1.48170484
0          5.68527604   -0.47760767    0.45801104
0          4.40762992   -3.17020310    0.36067591
0          2.90553639    3.89750321    5.95960217
0          1.18701504    6.62727342   -2.29462664
0         -2.10332292    4.28930861   -3.30138802
0          4.90968798   -2.49160261    2.21236857
0         -3.98378595    0.31942646   -1.25227289
0         -4.74963373   -4.65094718    3.94585021
0         -1.01751258    3.08874436    3.46074550
0         -3.51778120   -2.37839019   -5.86589772
0         -2.57612727    5.05204559    4.73324630
0          6.43545136    5.06372241    2.31953569
0         -3.34022627   -3.20990621   -1.59551062
0         -4.03546559    1.83058153   -0.93227852
0          1.92164443   -0.82489433   -5.21825827
0          1.47609512    0.29048782    1.08618994
0         -0.62326087    3.24622194    4.70323083
0         -5.39067189    0.37755303   -6.64518662
0          5.26800922   -5.31453512    0.12527664
0          5.19654299    3.78333654    3.23974271
0          6.18449446   -5.84655268   -1.56405656


100        0.86511480    1.68998772    3.42533454
100       -4.58158760   -5.30645255   -5.62909538
100        2.53302128    4.94041122    2.91420286
100       -0.65631537   -1.15091496   -6.79800443
100        5.67790402   -1.00107535   -3.51250349
100        1.74177541    2.76554956    1.67434810
100       -2.14541149   -4.57286517    4.43180097
100       -0.50155704   -1.45950963   -0.97751304
100       -0.32728403    0.19896372    2.65496086
100       -3.76055189    2.40151847   -3.14311908
100       -1.70194275   -5.59371331   -2.17583030
100        1.10486096    2.45746161   -5.13363766
100       -4.57353241   -2.90359867    3.91007138
100        2.50215539    1.73712704    2.63253677
100       -0.87307112   -0.02079555    1.25493422
100        4.35773525   -0.99254284    8.84368730
100        1.14052158    0.46882332   -1.89506051
100       -0.13754978   -2.00231109    5.45673869
100        1.88133600   -2.60634989    4.58105716
100        1.47335015   -1.45152086    5.84061611
100        0.56020043    0.81909557    5.79915720
100       -0.69398967   -2.09178821   -3.90866878
100       -1.16883808    0.83443049    4.19051536
100       -1.95358961   -2.07494869   -4.10791925
100       -0.05501559    0.47894742    0.62838997
100        0.59348639   -0.90440049    1.72525493
100       -3.53953148   -1.97342367    2.85689404
100        2.80387210   -5.11378855    5.35337753
100       -1.26108226   -0.88958832   -5.00893639
100       -0.58652737   -3.16905189   -2.07180209
100        0.85781641   -0.33486382   -3.94401792
100       -1.18622646    0.85509502   -2.53523393
100        2.36774337   -0.51225136   -2.79475383
100       -2.41623828    4.58322403   -3.27920675
100       -0.50512302   -0.95473297    3.47435451
100       -1.69730381    1.96358238   -2.56969825
100       -0.73202699    1.15808101    2.33414075
100        1.01331910    1.50647639    4.23964631
100       -2.48670271   -1.34149404   -3.39297445
100        4.17107140    0.26687736    5.80246469
100        0.88932418    0.89981191   -2.69981188
100       -3.45235534    2.79206720   -6.00705565
100        2.25056930    4.57066313    4.20855715
100       -1.77937247    2.99288954    3.09420935
100       -1.38193234    1.39519832    2.35790865
100       -1.69344742   -0.73380199   -6.27455252
100        2.30911266   -0.94281521    2.85360348
100       -2.05716177    2.99436762   -4.56662220
100       -0.66229713    1.80250409    3.58853162
100        3.78778363   -5.18107619    6.69574541
100       -0.29575841    4.13150280    0.39208655
100        3.59087817   -0.54862183    2.08171395
100        1.33764433    2.08249966   -2.58402275
100        2.24403436   -1.41534813   -2.31736823
100       -0.79764151    1.79654312    9.54552556
100        1.63063212    2.40054610   -4.58249138
100       -0.99306114   -2.62043092   -3.16116931
100        1.63704344   -1.51092261    1.89427213
100        1.11523550   -0.08684346    4.72291160
100        0.92612767   -1.89543207    2.17723419
100       -2.07744372    1.01615857   -2.39530069
100       -1.16474939    1.09542271   -7.16108951
100        1.91826143    0.74850120    4.20220600
100       -1.59684923   -1.89775736   -3.99852822
100        2.25989699    4.75842794    5.21351337
100       -2.62448296    1.66960690   -4.33327236
100       -0.59038680    1.70064087   -3.09909891
100        0.18759833    1.89156782    3.80752655
100        1.02509585   -2.14327582    9.81246998
100        0.11075346   -0.39183552   -1.17949081
100       -1.36343872   -1.28474466   -2.69665503
100        2.06603459    0.31124428   -3.46948374
100       -0.00300113   -3.57818433   -2.89853950
100       -0.55874871   -0.69820471    1.28465240
100       -1.32098206    4.70939198    3.44648745
100       -3.24035476   -2.74832910    5.01270712
100        1.00996504    0.48752892   -5.10520940
100       -0.96806057   -8.85560759   -2.69391478
100        0.39538866   -2.70702078   -6.85270242
100        0.01831087    0.37817968   -2.46484114
100        0.59958060   -1.06684499   -0.46521910
100       -1.40811195   -0.73167565    1.02328949
100       -3.07672856   -2.07135510   -3.65919493
100        0.76776806   -0.93004801    0.80536479
100       -2.99548073    2.37789057   -2.84914999
100        0.87950001    1.10855954   -1.14077653
100        4.78755205   -2.23251577   -6.80975244
100       -0.28878717   -0.79810590    1.17695251
100        0.08471602   -0.60764799    6.86953746
100       -1.78174242   -0.47102602   -3.95809028
100       -5.13486728   -1.02602147   -0.30598045
100        5.52832468    0.06929554   -3.94126929
100       -6.96494758   -0.68754394   -6.32135083
100       -5.70842139   -1.71190436   -4.75605610
100       -2.69243377   -2.32508325   -6.64089078
100       -1.01538638   -3.94840309    3.52612114
100        6.76422699   -0.37265657    1.78550463
100        0.64566391   -0.56298858   -1.39492753
100        2.66762892   -3.41475717    1.97466720
100        0.33412913    2.70589738   -4.68240816


200       -3.64458211   -0.89638161   -0.92985736
200       -2.57331542    0.77010568   -2.07424376
200        2.45615249   -3.48110030   -3.74448611
200       -2.44278087    3.41500750   -4.90930359
200       -1.39154295    3.48597223   -1.57955700
200        3.63922908    0.17547583   -8.28567243
200        0.90551603   -1.48241109   -2.87730709
200        0.28115024    2.27301653   -3.47097588
200        2.29750503    1.50787148   -2.71329076
200        3.95872317    0.16594698   -5.81992549
200        9.34668900   -4.23995875    2.28345097
200        0.37177373   -3.03572020   -4.76117190
200        5.15375952    0.76848704   -6.27965239
200       -2.97090045   -2.67021054    2.68123691
200        1.33401114    1.32998818    1.71124268
200        4.25079111   -2.42756102    3.55520373
200        1.85620689    4.77184713   -2.96606783
200        1.38777214    1.37092499   -4.37255091
200        1.51061853    0.39101433    1.53792509
200       -2.42462627    1.17698192   -3.36656939
200       -1.05130828    0.36706728   -6.02049329
200        2.02121985    7.15324947    4.64172988
200        0.03717201   -0.67016909   -2.24990608
200        1.28035311   -3.16348133   -6.13219568
200        2.05786531   -1.90139755    6.57098555
200        2.16138218   -3.20673542    7.75902932
200        0.54946078    2.69918626    2.97931880
200        0.57447081   -0.69748583   -2.30218091
200        0.42956206    0.45619582   -2.76556123
200       -3.11304762   -3.28313231    3.78263639
200       -0.74011706   -4.18350575   -4.09473516
200       -3.11319924    2.87182579   -3.95529277
200        3.33515553    0.48127072   -2.59854234
200       -2.85453099    0.96349029   -1.70844629
200       -0.40806249   -4.06322494    3.56368750
200        0.28314942   -1.70749867    5.78287797
200       -1.66270222    1.48981732    2.25439615
200        0.99952888    1.80832465    2.58040361
200        2.31280509    0.97787281   -4.83707507
200        3.95570269    3.02459073   -3.84430833
200       -0.31048368   -0.68758003   -0.47056465
200        0.43359315   -0.05314755    2.52787182
200        1.31862378   -3.76087570    4.97965817
200       -0.16727070   -1.48419541    0.33957208
200       -2.08736534   -2.94223930   -0.50905164
200       -1.39488772    2.47552487   -2.10962753
200       -0.82484565   -3.35942870    3.91370804
200       -1.96475072    1.26128776   -3.87270059
200       -2.47402600   -1.35637090    3.61892817
200        0.20255367   -5.02917462    2.46954962
200       -1.88326059   -3.45997193   -5.43144336
200       -3.59018560    7.79607548    8.23341519
200        0.74005425   -0.60118187   -1.61329353
200       -0.57492437   -0.04748827    3.13265519
200        2.76088824    2.29109511   -5.05041333
200       -1.25063920   -1.06846873    3.54897195
200        3.10254200    0.43913089    3.26549391
200       -3.97903214   -5.53667410   -4.56314573
200        2.29352221    0.31649361    2.68310320
200       -0.75392089    1.15385735   -6.53332132
200       -1.11074305   -1.88129971   -5.33893417
200       -0.66260863    1.13540506    2.18461116
200       -3.69313182   -0.97444498   -4.25701898
200       -2.98997825    0.31164878   -5.15288113
200       -1.77331699    4.12126979    2.63046502
200        2.62607974    0.13952675   -1.46449983
200        1.64052303   -1.98510715    4.47566672
200        6.03384386   -1.21190216    7.43023298
200        2.32588898    1.93650042    2.20185042
200        0.46291184    2.83703288    2.41199153
200        0.20448044   -0.47164303   -3.39526276
200       -0.25563286   -4.82466193   -3.29408987
200        1.10632830    1.39112092   -0.44211544
200       -5.04674271   -0.70950247    1.55567494
200        1.62445984   -5.85366332    2.36073962
200        0.62674184   -1.35878937   -3.67569114
200        4.22019364   -5.39615901   -5.50379793
200        1.67730926    1.41579965    4.12106036
200        1.29915243   -1.94598201   -4.83780329
200       -0.84772309    6.45597703    7.38104957
200       -0.73800428   -1.96645948   -1.93965137
200       -2.29433879    1.70290888    5.76118611
200       -0.03968522    1.56048174   -1.55452125
200        2.13998335    0.32833191    0.60911066
200       -5.86862305   -2.94508227    8.95870604
200       -1.82382457   -5.85222272   -8.48967963
200       -2.50455689   -1.28385396    1.07018590
200        0.41107967   -1.78709257    0.49991924
200       -1.54189772   -1.55942324   -2.58095654
200        1.37078222    3.12986895    2.87954017
200        2.19786283   -4.00744111   -1.72285636
200       -2.35949286    1.67390611   -8.10750386
200       -0.39942257   -2.29530683   -1.10002258
200        2.44602324   -0.71466442    6.16418805
200        0.63642634    0.68005052    2.29322479
200       -0.03760942    3.72461753    4.18508879
200       -0.41284092    0.30767006   -2.56268842
200       -2.45199323    2.04213432   -2.83808439
200       -1.69098185   -1.63628790   -2.92116846
200        1.31466941   -0.81089100   -4.65113786


300       -1.03133155    0.72426077   -2.61514766
300       -1.32515287   -1.49112481    5.40014721
300        5.83343966   -3.81926954   -4.83564847
300        1.10679144    0.35324005   -2.99602046
300        6.66059101   -5.53527210    4.14139150
300        1.84624328    1.01819541    3.81013238
300        0.30027299    2.17654032    5.75895454
300       -2.86089476    2.91134412   -1.86858920
300       -0.36162675   -1.80575606    3.66472526
300       -1.28077666   -5.04335688   -4.76425908
300       -2.11076101   -1.43428324    4.10089793
300        1.51742388    0.79478501   -4.18368888
300       -1.66014584    2.14793339    3.26409412
300        1.22730531   -1.92632288    2.09142027
300        1.40327388    1.94759180    4.37042240
300       -1.91830569    0.30812885   -1.35634977
300        0.72008317    1.28994877   -5.41376412
300       -1.82122112    0.32527510    3.81676053
300        0.88512274    2.32834835    1.07001275
300       -2.04891985    2.78774424   -2.78377424
300        0.81990896    2.58823076    5.30706887
300       -0.03581198    1.15412894    2.93251799
300       -0.70499240    0.67641037    0.88030502
300       -5.07663817    2.27371843    5.35739916
300       -0.69602606    0.38536961   -3.48677987
300       -1.50935370    2.75340155   -4.04361779
300        0.22629281   -0.85254365   -0.84044750
300       -4.50881652   -2.18339780   -6.33057941
300       -0.56160397    1.14896434    4.13114193
300        1.18786478    4.90185752    1.66141101
300        1.45417738    0.07243642    0.57630030
300        0.25669471   -2.63199304   -7.61053038
300        3.05163584   -4.97355508    5.34843358
300       -0.57099429   -1.51171758    3.71223438
300        2.12427823    2.10578113    3.78393935
300        0.07636111   -1.20625876    2.98643385
300        2.94163751    0.36835410   -5.89530397
300       -1.02066739   -0.27961443   -1.65939220
300       -4.61983892   -2.94463694    2.65923805
300        2.95942259   -0.97745574    3.62340604
300       -0.68213753   -0.99579795   -1.88684563
300       -0.78247328    0.21202290    1.98999296
300       -0.46521938    1.14514814    0.73929583
300        1.39574539    0.22903643   -6.74512013
300        0.18843293    0.84758432    1.55646493
300        1.28064832   -3.37396968   -6.26343847
300        2.79544890   -1.84118588    3.79937409
300       -2.77010088    0.90632682    0.90531309
300        1.14950961   -1.03775592   -5.49756651
300       -2.59827383    1.74667855    2.34496372
300        1.67385657    0.37469425    2.41380006
300        1.41503003    0.48564954    4.25507266
300        0.96300790    2.31843575   -3.41780510
300        4.36886412    0.83670527    1.15001556
300        5.81553636   -3.20221137   -4.68093005
300        0.46746548    2.28306631   -5.49907052
300        0.27351460   -0.25742189    1.39725309
300       -2.95086953    2.27132117   -2.99064029
300        3.78769160    0.61840669    4.21209557
300       -1.07468828   -3.86332787   -2.76178319
300       -0.06458411    0.83997730   -2.28671034
300       -3.70299699    0.32968961    2.37098786
300        1.88910893   -0.34822273    3.87392164
300        0.98275180   -0.76733480   -2.87559610
300        0.05773217    0.30108543   -3.44688262
300        1.61509958    0.95947146   -1.28071461
300       -4.00010222    1.05347797    2.91687096
300        5.90980857   -0.20497990    5.26773239
300        0.64362798   -3.05626687   -1.75966461
300        0.34303903    0.64652093   -1.81705597
300       -0.93792422   -1.81600532    3.02837111
300       -0.50797708    2.46725728   -5.35467363
300        3.59823648   -1.95689548    0.90527514
300       -6.40602616   -0.91664020    2.49733380
300       -1.25176784    1.39746911    1.42159086
300        5.27142286    0.32168705   -1.54871490
300       -0.99545732    1.67826307   -3.49249775
300        4.46701023    5.65809193   13.15378485
300       -1.02014658   -0.60984158   -3.36118157
300       -1.39082470   -1.11705756    5.65519083
300        0.23626217   -3.13598185   -2.75504134
300       -1.80425113    4.11652643   -5.26606633
300        0.12775220   -0.35413874   -2.24288460
300       -1.30825591   -3.13208943   -3.50154727
300        0.14622451    1.11958018    2.60817378
300        0.03602544   -1.00799219   -2.85471275
300        2.99416013   -3.21825316    3.41587742
300       -1.64919477   -3.06446835    1.50060705
300        0.05913568   -0.12130149   -1.11950703
300        0.41592285    0.35855763   -3.65250274
300        3.69004784    1.68117102   -3.30272706
300        2.45396756    0.28981032    3.34676634
300       -1.80906327   -0.18612918   -2.52527352
300       -3.95963244   -5.79860586   -9.84941887
300       -0.06303010   -0.55162390   -0.90655215
300        6.84193668    2.81604895    2.45568538
300       -3.25390746   -0.56537496   -5.23029304
300       -3.58493694    1.52968160   -8.56267126
300        0.97371692    1.32675728    6.15535181
300        2.83349667   -3.75713689   -2.01698121


400        6.25836510    3.01199250    3.10158868
400        0.89823119   -1.57823207    1.99729482
400       -1.15584989   -1.06790688   -3.02316402
400       -1.75821233    1.01043013   -1.69481699
400       -0.98248310    1.20330601   -3.97229537
400       -0.17342869   -1.00736301    0.55374522
400        1.17513303    3.47171803   10.47317956
400       -1.98764685   -1.80904088    2.75088355
400        3.16291374    4.97975804    1.92758273
400       -1.99579387    0.21697761    3.19239148
400        0.53381245   -0.62098529   -2.11965248
400       -1.22287278    0.53831391   -2.40375103
400       -2.23442198   -0.50453686   -2.59102470
400        5.17463947   -1.24333404    6.09132368
400        2.34921054    0.50811886    7.32980214
400        1.33130140   -1.08723364   -4.04124987
400       -1.61847524    0.25506026    2.17225327
400        0.50935106    0.97278859   -5.94973722
400        2.16661501    0.92394038   -2.21775269
400       -1.13593606   -1.13064795    2.26313242
400        2.44712845   -6.07258813    4.50232605
400       -0.94776875   -2.85611033   -4.09294314
400        0.10282162    2.06817868   -3.24750925
400        0.65988625   -0.02047108    3.36846876
400        2.69282776    2.69588091   -1.50025006
400       -0.77511027   -4.08720669    2.57249782
400       -1.27354870   -5.48978298   -2.55820741
400        0.17751598    1.44321051   -3.31290451
400        0.95025151    1.07627110   -1.74435503
400       -7.28469868   -1.22503279    6.17368870
400       -2.88990693   -0.42066167   -4.81209894
400       -1.03982420    0.90989012   -1.92823083
400        1.13612174   -0.28901893   -4.02345847
400        0.06264470    1.47644918    1.82810640
400       -1.64464921    2.84889282    2.74221603
400        2.38798498    3.89178898   -2.90046929
400        0.58762289    0.30838265   -1.68690448
400       -0.32717647   -0.89346371   -1.12604956
400        0.03570920    0.97932538   -6.18872776
400       -2.17957041    1.66198193    4.06810233
400        0.32178780    1.28536189   -3.88329611
400        1.38205659   -1.64727812    2.73176619
400        1.23286477   -0.83134033    1.61635843
400        0.75902976    1.36610547   -1.41175757
400        0.88824593   -3.63416077    4.49798692
400        3.08145878    1.07374150   -5.51032527
400       -0.61740870    2.30511639    4.21929283
400       -1.78369789    0.07077583    3.04568579
400        2.35589596   -5.68981881    1.19288652
400       -1.32857946    2.58112791    1.44909319
400       -0.79472476   -1.28155633    5.72008414
400       -3.74836598   -0.32894630    5.42183253
400        1.01606320    0.61093613    5.29309217
400        0.16852132   -0.55057820   -4.84399708
400       -2.48796569    1.90129103    3.53084188
400       -0.17800847   -0.71652726   -1.70091094
400       -0.72954996   -2.93264670    2.81094983
400        4.64682267   -5.65728684   -4.00535953
400        2.31568845   -1.13200760   -2.09251677
400        1.52946082   -2.75405466   -4.51999625
