# Block   <r> (block average)   <r> (cumulative average)
1                 5.01581117           5.01581117
2                 5.00080196           5.00830657
3                 4.99445092           5.00368802
4                 4.90445875           4.97888070
5                 4.92809287           4.96872314
6                 5.02629610           4.97831863
7                 5.02180049           4.98453033
8                 4.97134579           4.98288226
9                 4.98287197           4.98288112
10                4.91456892           4.97604990
11                4.93864146           4.97264913
12                4.79350520           4.95772047
13                5.01645784           4.96223873
14                5.15317475           4.97587701
15                4.98547234           4.97651670
16                5.08601710           4.98336048
17                5.06403197           4.98810586
18                4.83960574           4.97985585
19                4.99895204           4.98086092
20                4.85783119           4.97470943
21                4.95993676           4.97400597
22                4.98249838           4.97439199
23                4.96432106           4.97395412
24                5.03193830           4.97637013
25                4.91843416           4.97405269
26                4.95844013           4.97345221
27                4.92373630           4.97161088
28                5.07654805           4.97535863
29                5.16435917           4.98187589
30                4.78449899           4.97529666
31                4.99651934           4.97598126
32                5.16911381           4.98201666
33                5.09569086           4.98546133
34                4.98381058           4.98541278
35                4.99906328           4.98580279
36                4.96235764           4.98515154
37                4.96656022           4.98464907
38                4.99723173           4.98498019
39                5.02086520           4.98590032
40                4.99720577           4.98618296
41                4.99323892           4.98635505
42                4.95171836           4.98553037
43                4.99499592           4.98575050
44                5.03199682           4.98680155
45                5.02836626           4.98772521
46                5.07221148           4.98956187
47                4.92737314           4.98823871
48                5.09640106           4.99049209
49                5.10976588           4.99292625
50                4.92684978           4.99160472
51                5.08626370           4.99346078
52                5.12514555           4.99599318
53                5.03828486           4.99679113
54                5.18099545           5.00020232
55                4.95353799           4.99935388
56                5.08065484           5.00080568
57                5.08439000           5.00227208
58                5.11486660           5.00421336
59                4.88238031           5.00214839
60                5.06030749           5.00311771
61                4.99973275           5.00306222
62                4.93981461           5.00204210
63                5.02971758           5.00248139
64                4.87275625           5.00045444
65                4.97286424           5.00002997
66                5.08926965           5.00138209
67                4.96682180           5.00086626
68                5.13078765           5.00277687
69                4.96934348           5.00229233
70                4.90956685           5.00096768
71                5.04460400           5.00158228
72                5.03593147           5.00205935
73                4.97046676           5.00162657
74                5.00420637           5.00166144
75                5.16110056           5.00378729
76                4.96690314           5.00330197
77                4.95246422           5.00264174
78                5.12260438           5.00417972
79                5.05603928           5.00483617
80                5.08234587           5.00580505
81                4.90405713           5.00454890
