# L  N  <theta^2>  ln(N)
   4     16     0.027733465    2.7725887
   8     64     0.039188268    4.1588831
  16    256     0.050615945    5.5451774
  32   1024     0.061611293    6.9314718
  48   2304     0.067021087    7.7424020
  64   4096     0.235388285    8.3177662
  80   6400     0.080045504    8.7640533
  96   9216     0.132383665    9.1286964
 128  16384     2.657406535    9.7040605
 160  25600     1.764402094   10.1503476
 192  36864     2.327175857   10.5149907
 224  50176     1.307859821   10.8232921
 288  82944     1.084812523   11.3259210
 352 123904     2.284282968   11.7272624
